uniqueFollowCount,totalUnFollowCount,foursquareId,uniqueUnFollowCount,key,date,totalFollowCount
15,0,2960903,0,2010-12-19 | 2960903,2010-12-19T00:00:00,15
16,0,2962045,0,2010-12-19 | 2962045,2010-12-19T00:00:00,18
20,0,2979747,0,2010-12-19 | 2979747,2010-12-19T00:00:00,24
39,0,3049802,0,2010-12-19 | 3049802,2010-12-19T00:00:00,44
8,0,305094,0,2010-12-19 | 305094,2010-12-19T00:00:00,8
20,0,3052639,0,2010-12-19 | 3052639,2010-12-19T00:00:00,20
5,0,3053550,0,2010-12-19 | 3053550,2010-12-19T00:00:00,5
11,0,305584,0,2010-12-19 | 305584,2010-12-19T00:00:00,12
19,0,3073406,0,2010-12-19 | 3073406,2010-12-19T00:00:00,19
18,0,3086675,0,2010-12-19 | 3086675,2010-12-19T00:00:00,19
22,0,3091450,0,2010-12-19 | 3091450,2010-12-19T00:00:00,23
45,0,3107021,0,2010-12-19 | 3107021,2010-12-19T00:00:00,55
5,0,3119396,0,2010-12-19 | 3119396,2010-12-19T00:00:00,5
15,0,321287,0,2010-12-19 | 321287,2010-12-19T00:00:00,17
19,1,3214207,1,2010-12-19 | 3214207,2010-12-19T00:00:00,23
40,0,3225840,0,2010-12-19 | 3225840,2010-12-19T00:00:00,56
33,0,3226418,0,2010-12-19 | 3226418,2010-12-19T00:00:00,46
5,0,322698,0,2010-12-19 | 322698,2010-12-19T00:00:00,5
20,0,3228004,0,2010-12-19 | 3228004,2010-12-19T00:00:00,22
18,0,3230661,0,2010-12-19 | 3230661,2010-12-19T00:00:00,20
25,0,3232774,0,2010-12-19 | 3232774,2010-12-19T00:00:00,35
14,0,3244046,0,2010-12-19 | 3244046,2010-12-19T00:00:00,14
16,0,3262181,0,2010-12-19 | 3262181,2010-12-19T00:00:00,16
16,0,3300943,0,2010-12-19 | 3300943,2010-12-19T00:00:00,18
14,0,3302010,0,2010-12-19 | 3302010,2010-12-19T00:00:00,14
40,0,3318416,0,2010-12-19 | 3318416,2010-12-19T00:00:00,52
9,1,3323786,1,2010-12-19 | 3323786,2010-12-19T00:00:00,9
8,0,3343327,0,2010-12-19 | 3343327,2010-12-19T00:00:00,8
21,0,3343338,0,2010-12-19 | 3343338,2010-12-19T00:00:00,21
26,0,3348812,0,2010-12-19 | 3348812,2010-12-19T00:00:00,27
19,0,3357729,0,2010-12-19 | 3357729,2010-12-19T00:00:00,20
17,0,3358174,0,2010-12-19 | 3358174,2010-12-19T00:00:00,17
14,0,3358242,0,2010-12-19 | 3358242,2010-12-19T00:00:00,14
14,0,336012,0,2010-12-19 | 336012,2010-12-19T00:00:00,15
4,0,337548,0,2010-12-19 | 337548,2010-12-19T00:00:00,4
18,0,3377786,0,2010-12-19 | 3377786,2010-12-19T00:00:00,18
