count,date,foursquareId,key
4308,2011-01-12T05:05:10,3400565,2011-01-12 | 3400565
4790,2011-01-12T05:05:10,340702,2011-01-12 | 340702
3793,2011-01-12T05:05:10,3450621,2011-01-12 | 3450621
3166,2011-01-12T05:05:10,3452356,2011-01-12 | 3452356
1261,2011-01-12T05:05:10,3462137,2011-01-12 | 3462137
18512,2011-01-12T05:05:10,347482,2011-01-12 | 347482
1269,2011-01-12T05:05:10,3483778,2011-01-12 | 3483778
20667,2011-01-12T05:05:10,3499494,2011-01-12 | 3499494
2583,2011-01-12T05:05:10,3500370,2011-01-12 | 3500370
10147,2011-01-12T05:05:10,352703,2011-01-12 | 352703
21606,2011-01-12T05:05:10,3534006,2011-01-12 | 3534006
3127,2011-01-12T05:05:10,3536222,2011-01-12 | 3536222
52819,2011-01-12T05:05:10,360215,2011-01-12 | 360215
3000,2011-01-12T05:05:10,3602992,2011-01-12 | 3602992
2884,2011-01-12T05:05:10,3646920,2011-01-12 | 3646920
1527,2011-01-12T05:05:10,3647483,2011-01-12 | 3647483
2444,2011-01-12T05:05:10,3648478,2011-01-12 | 3648478
2549,2011-01-12T05:05:10,3663586,2011-01-12 | 3663586
2578,2011-01-12T05:05:10,3685114,2011-01-12 | 3685114
1696,2011-01-12T05:05:10,3739457,2011-01-12 | 3739457
934,2011-01-12T05:05:10,376030,2011-01-12 | 376030
2933,2011-01-12T05:05:10,3760650,2011-01-12 | 3760650
100743,2011-01-12T05:05:10,376887,2011-01-12 | 376887
2737,2011-01-12T05:05:10,3779900,2011-01-12 | 3779900
2339,2011-01-12T05:05:10,3794608,2011-01-12 | 3794608
3447,2011-01-12T05:05:10,3795733,2011-01-12 | 3795733
3250,2011-01-12T05:05:10,3796987,2011-01-12 | 3796987
1668,2011-01-12T05:05:10,3799005,2011-01-12 | 3799005
1300,2011-01-12T05:05:10,3838334,2011-01-12 | 3838334
15202,2011-01-12T05:05:10,383992,2011-01-12 | 383992
3298,2011-01-12T05:05:10,3904291,2011-01-12 | 3904291
5268,2011-01-12T05:05:10,3907781,2011-01-12 | 3907781
1540,2011-01-12T05:05:10,3908889,2011-01-12 | 3908889
1166,2011-01-12T05:05:10,3921145,2011-01-12 | 3921145
2701,2011-01-12T05:05:10,3964060,2011-01-12 | 3964060
24968,2011-01-12T05:05:10,3965355,2011-01-12 | 3965355
3222,2011-01-12T05:05:10,3968757,2011-01-12 | 3968757
4628,2011-01-12T05:05:10,3969273,2011-01-12 | 3969273
3445,2011-01-12T05:05:10,3982252,2011-01-12 | 3982252
8196,2011-01-12T05:05:10,398871,2011-01-12 | 398871
4728,2011-01-12T05:05:10,4049899,2011-01-12 | 4049899
1306,2011-01-12T05:05:10,4053216,2011-01-12 | 4053216
1120,2011-01-12T05:05:10,4070286,2011-01-12 | 4070286
2838,2011-01-12T05:05:10,4082309,2011-01-12 | 4082309
1499,2011-01-12T05:05:10,4085980,2011-01-12 | 4085980
1316,2011-01-12T05:05:10,4086675,2011-01-12 | 4086675
6660,2011-01-12T05:05:10,4104113,2011-01-12 | 4104113
3090,2011-01-12T05:05:10,4106970,2011-01-12 | 4106970
1465,2011-01-12T05:05:10,4107726,2011-01-12 | 4107726
1020,2011-01-12T05:05:10,4108433,2011-01-12 | 4108433
9635,2011-01-12T05:05:10,4108596,2011-01-12 | 4108596
12027,2011-01-12T05:05:10,4108698,2011-01-12 | 4108698
1461,2011-01-12T05:05:10,4118719,2011-01-12 | 4118719
12195,2011-01-12T05:05:10,4121273,2011-01-12 | 4121273
948,2011-01-12T05:05:10,4123168,2011-01-12 | 4123168
3060,2011-01-12T05:05:10,4128086,2011-01-12 | 4128086
1351,2011-01-12T05:05:10,4192126,2011-01-12 | 4192126
2832,2011-01-12T05:05:10,4215070,2011-01-12 | 4215070
1328,2011-01-12T05:05:10,4229707,2011-01-12 | 4229707
1600,2011-01-12T05:05:10,4236123,2011-01-12 | 4236123
2982,2011-01-12T05:05:10,4237709,2011-01-12 | 4237709
1523,2011-01-12T05:05:10,4250163,2011-01-12 | 4250163
2764,2011-01-12T05:05:10,4269226,2011-01-12 | 4269226
2144,2011-01-12T05:05:10,4278043,2011-01-12 | 4278043
2574,2011-01-12T05:05:10,429202,2011-01-12 | 429202
11331,2011-01-12T05:05:10,4302318,2011-01-12 | 4302318
2780,2011-01-12T05:05:10,4302443,2011-01-12 | 4302443
7637,2011-01-12T05:05:10,430851,2011-01-12 | 430851
1327,2011-01-12T05:05:10,4335505,2011-01-12 | 4335505
1940,2011-01-12T05:05:10,4339715,2011-01-12 | 4339715
2889,2011-01-12T05:05:10,4354366,2011-01-12 | 4354366
1085,2011-01-12T05:05:10,4355776,2011-01-12 | 4355776
4354,2011-01-12T05:05:10,4362480,2011-01-12 | 4362480
1254,2011-01-12T05:05:10,4379154,2011-01-12 | 4379154
19325,2011-01-12T05:05:10,4382042,2011-01-12 | 4382042
1434,2011-01-12T05:05:10,4427579,2011-01-12 | 4427579
924,2011-01-12T05:05:10,4427819,2011-01-12 | 4427819
1205,2011-01-12T05:05:10,4428248,2011-01-12 | 4428248
2809,2011-01-12T05:05:10,4499781,2011-01-12 | 4499781
1397,2011-01-12T05:05:10,4501311,2011-01-12 | 4501311
1440,2011-01-12T05:05:10,4515124,2011-01-12 | 4515124
1616,2011-01-12T05:05:10,4518187,2011-01-12 | 4518187
168,2011-01-12T05:05:10,4518989,2011-01-12 | 4518989
1326,2011-01-12T05:05:10,4537678,2011-01-12 | 4537678
11861,2011-01-12T05:05:10,4552302,2011-01-12 | 4552302
1300,2011-01-12T05:05:10,4557525,2011-01-12 | 4557525
3549,2011-01-12T05:05:10,4559911,2011-01-12 | 4559911
1233,2011-01-12T05:05:10,4561403,2011-01-12 | 4561403
1310,2011-01-12T05:05:10,4572451,2011-01-12 | 4572451
2835,2011-01-12T05:05:10,4579353,2011-01-12 | 4579353
2991,2011-01-12T05:05:10,4582409,2011-01-12 | 4582409
1492,2011-01-12T05:05:10,4583472,2011-01-12 | 4583472
4281,2011-01-12T05:05:10,4584204,2011-01-12 | 4584204
1123,2011-01-12T05:05:10,4652678,2011-01-12 | 4652678
1571,2011-01-12T05:05:10,4697764,2011-01-12 | 4697764
40729,2011-01-12T05:05:10,470491,2011-01-12 | 470491
2732,2011-01-12T05:05:10,4717512,2011-01-12 | 4717512
8586,2011-01-12T05:05:10,4730845,2011-01-12 | 4730845
1595,2011-01-12T05:05:10,4753686,2011-01-12 | 4753686
1133,2011-01-12T05:05:10,4764590,2011-01-12 | 4764590
1302,2011-01-12T05:05:10,4795069,2011-01-12 | 4795069
3094,2011-01-12T05:05:10,4804357,2011-01-12 | 4804357
1350,2011-01-12T05:05:10,4827120,2011-01-12 | 4827120
14313,2011-01-12T05:05:10,48281,2011-01-12 | 48281
1252,2011-01-12T05:05:10,4832793,2011-01-12 | 4832793
1461,2011-01-12T05:05:10,4850155,2011-01-12 | 4850155
1169,2011-01-12T05:05:10,4852779,2011-01-12 | 4852779
2661,2011-01-12T05:05:10,4876096,2011-01-12 | 4876096
3122,2011-01-12T05:05:10,4922115,2011-01-12 | 4922115
8948,2011-01-12T05:05:10,493509,2011-01-12 | 493509
1295,2011-01-12T05:05:10,4960697,2011-01-12 | 4960697
