id,name,category,action,label,totalEvents,uniqueEvents,eventValue
2659319,University of Adelaide,brands,followed,2659319,119,88,0
2089643,Standard Hotels,brands,followed,2089643,118,107,0
1828981,Swinburne U.,brands,followed,1828981,117,90,0
336012,How To Make It In America,brands,followed,336012,117,112,0
1364255,TLC,brands,followed,1364255,116,101,0
1014390,Texas A&M University,brands,followed,1014390,114,111,0
1616888,Helmut Lang,brands,followed,1616888,114,108,0
268329,GreenShoelace G.,brands,followed,268329,113,100,0
305584,Metromix,brands,followed,305584,112,108,0
430851,@AdobeSXSW,brands,followed,430851,111,106,0
338793,Valentine's Day Movie,brands,followed,338793,110,98,0
1473703,Supermodelme,brands,followed,1473703,109,101,0
1760948,GogoInflight,brands,followed,1760948,109,104,0
922746,Ken B.,brands,followed,922746,109,97,0
1596715,Bing,brands,followed,1596715,108,103,0
2331531,Duke Chronicle,brands,followed,2331531,108,103,0
493509,GOOD,brands,followed,493509,107,105,0
2295370,MichiganGoBlue,brands,followed,2295370,106,104,0
13630,Heavy Table,brands,followed,13630,105,101,0
2276914,Walgreens,brands,followed,2276914,105,101,0
2601108,Texas Tech U.,brands,followed,2601108,105,103,0
1689524,The Expendables,brands,followed,1689524,104,101,0
1276998,VISIT M.,brands,followed,1276998,102,97,0
2380335,Advertising Week,brands,followed,2380335,102,90,0
742542,Time Out New York,brands,followed,742542,102,97,0
1413072,CNN,brands,followed,1413072,101,96,0
2630325,UNL,brands,followed,2630325,98,94,0
4427819,Lewis U.,brands,followed,4427819,98,81,0
1361264,The Real L Word,brands,followed,1361264,97,87,0
305094,The Baltimore Sun,brands,followed,305094,95,93,0
202873,CrainsChicago,brands,followed,202873,94,90,0
2485302,Crain's New York Business,brands,followed,2485302,93,90,0
508885,MCFC,brands,followed,508885,93,88,0
887198,SyracuseU,brands,followed,887198,93,90,0
1968156,College of William and Mary,brands,followed,1968156,90,84,0
1387227,Havaianas,brands,followed,1387227,88,85,0
268135,Thrillist,brands,followed,268135,86,81,0
3534006,NHL,brands,followed,3534006,85,81,0
3358242,Michelin Guides,brands,followed,3358242,84,80,0
1297266,Louis V.,brands,followed,1297266,82,78,0
4552302,Sony Ericsson,brands,followed,4552302,82,79,0
261702,Metro News,brands,followed,261702,78,76,0
1120937,Stanford University,brands,followed,1120937,77,71,0
3965355,NASA,brands,followed,3965355,77,77,0
844707,ARTINFO,brands,followed,844707,77,74,0
1504602,Mashable,brands,followed,1504602,76,75,0
1372689,Metropolitan Museum of Art,brands,followed,1372689,75,75,0
3119396,Queensland,brands,followed,3119396,72,69,0
470491,IFC (Independent Film Channel),brands,followed,470491,71,67,0
147983,Harvard U.,brands,followed,147983,70,67,0
2485038,Arizona State University,brands,followed,2485038,70,61,0
48281,SFBART,brands,followed,48281,70,69,0
149690,BrooklynMuseum,brands,followed,149690,69,69,0
1837066,HuffPost,brands,followed,1837066,69,67,0
1223577,TODAY S.,brands,followed,1223577,66,63,0
238086,Explore Chicago,brands,followed,238086,66,65,0
572758,National Post,brands,followed,572758,64,63,0
843848,Time Out C.,brands,followed,843848,64,60,0
3499494,TeamCoco,brands,followed,3499494,61,59,0
3343327,Eater.com,brands,followed,3343327,59,55,0
2749170,Graphic.ly,brands,followed,2749170,57,56,0
4382042,RadioShack,brands,followed,4382042,56,54,0
660771,MTV,brands,followed,660771,55,48,0
203469,ZAGAT,brands,followed,203469,54,49,0
